N° de certificado;Nombre comercial;Empresa ;Titular o Extensión; 
"75094";"ATRIBEN";"HOLLIDAY SCOTT S A";"Propio";
"75104";"DINAMOGENO ATP";"INDUSTRIAS VETERINARIAS S R L";"Propio";
"75127";"G1 BOVINOS";"VON FRANKEN S A I C";"Propio";
"75143";"G 1 LANARES";"VON FRANKEN S A I C";"Propio";
"75338";"TERRA-CORTRIL";"ZOETIS ARGENTINA S R L";"Propio";
"75380";"ASCARICIDA LIQUIDO JOHN MARTIN";"JOHN MARTIN SRL";"Propio";
"76007";"ANTIGERMEN POTENTE";"ZOETIS ARGENTINA S R L";"Propio";
"76012";"METIGASONE LIQUIDO";"BIOGENESIS BAGO S.A.";"Propio";
"76050";"MASTI FRANK";"VON FRANKEN S A I C";"Propio";
"76055";"Carbunclo Sintomatico Mancha Terneros";"BIOGENESIS BAGO S.A.";"Propio";
"76098";"Vit ADE ml";"LABORATORIO CIMOL SOCIEDAD RESPONSABILIDAD LIMITADA";"Propio";
"76100";"IODODISTENDOL";"LABORATORIO CIMOL SOCIEDAD RESPONSABILIDAD LIMITADA";"Propio";
"76149";"TERRAMICINA 100 SOLUCION INYECTABLE";"ZOETIS ARGENTINA S R L";"Propio";
"76154";"COAGULANTE PAUL";"PROMOPET SRL";"Propio";
"76225";"AMINOACIDOS S";"BIOVET S.R.L.";"Propio";
"76296";"Anti Stress Gotas";"JOHN MARTIN SRL";"Propio";
"76307";"PILERAN GOTAS";"HOLLIDAY SCOTT S A";"Propio";
"76308";"PILERAN INYECTABLE";"HOLLIDAY SCOTT S A";"Propio";
"76485";"Vitaminico AEDK";"HOLLIDAY SCOTT S A";"Propio";
"76495";"COLIRIO PAUL ";"PROMOPET SRL";"Propio";
"76549";"B12 DEPOT";"INDUSTRIAS VETERINARIAS S R L";"Propio";
"76550";"Tiamina Delta";"INDUSTRIAS VETERINARIAS S R L";"Propio";
"76572";"BIOTETANIC";"BIOGENESIS BAGO S.A.";"Propio";
"76586";"LEVAMISOL GANAFORT INYECTABLE";"LABORATORIO GANAFORT ARGENTINA S.A.";"Propio";
"77079";"CLORALEN";"HOLLIDAY SCOTT S A";"Propio";
"77094";"Fenoyod";"VON FRANKEN S A I C";"Propio";
"77128";"DESOXICORTICOSTERONA INDUVET";"INDUSTRIAS VETERINARIAS S R L";"Propio";
"77165";"RESOLUTIVO GANAFORT";"LABORATORIO GANAFORT ARGENTINA S.A.";"Propio";
"77176";"Complejo B *";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"77245";"ECEGON";"BIOGENESIS BAGO S.A.";"Propio";
"77259";"ESTREPTOPENDIBEN 5.000.000 U.I.";"BIOGENESIS BAGO S.A.";"Propio";
"77320";"DIFEBUZOL";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"77323";"DIFEBUZOL COMPUESTO";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"77325";"HAMPTOMSAL";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"77338";"PROTELIV";"HOLLIDAY SCOTT S A";"Propio";
"77349";"NOMAT";"HOLLIDAY SCOTT S A";"Propio";
"77395";"DIMSOL B PINCELACIONES";"INDUSTRIAS VETERINARIAS S R L";"Propio";
"77396";"APETIL";"HOLLIDAY SCOTT S A";"Propio";
"77558";"SONASUL LA";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"77562";"Cortilog";"LABORATORIOS KONIG S A";"Propio";
"77593";"HEPATO PROTECTOR CIMOL";"LABORATORIO CIMOL SOCIEDAD RESPONSABILIDAD LIMITADA";"Propio";
"78066";"FIT CONCENTRADO EMULSIONABLE";"AFFORD SA";"Propio";
"78067";"LER CALCIFICANTE";"AFFORD SA";"Propio";
"78081";"MAGNESIO HIPOFOSFITO RIO DE JANEIRO";"ALLIGNANI HERMANOS S R L";"Propio";
"78095";"MAGNECAL 3000";"AGROINSUMOS S. A.";"Propio";
"78150";"VITAMINA B12 50.000 MCG";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"78156";"VERMIPLEX";"LABORATORIOS KONIG S A";"Propio";
"78185";"CARDIOTONICO CUME";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"78256";"COLIRAMA VIRAL";"HOLLIDAY SCOTT S A";"Propio";
"78271";"AMPICILINA COMPLEX";"AGROINSUMOS S. A.";"Propio";
"78302";"INDUFOS I";"INDUSTRIAS VETERINARIAS S R L";"Propio";
"78335";"Ganafort ******";"LABORATORIO GANAFORT ARGENTINA S.A.";"Propio";
"78354";"DEXAMETASONA DELTA";"INDUSTRIAS VETERINARIAS S R L";"Propio";
"78361";"S.R.E.";"VON FRANKEN S A I C";"Propio";
"78411";"DESFATIGANTE OXIGENANTE";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"78418";"CARDIO B15 INYECTABLE";"INDUSTRIAS VETERINARIAS S R L";"Propio";
"78522";"NEWBESTRIN 50 CON B 12";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"79049";"Parcillina";"AGROINSUMOS S. A.";"Propio";
"79099";"CHICK N - POX TC";"ZOETIS ARGENTINA S R L";"Propio";
"79102";"POXINE";"ZOETIS ARGENTINA S R L";"Propio";
"79104";"VACUNA CONTRA LA ENFERMEDAD DE NEWCASTLE TIPO B1, CEPA B1, VIRUS VIVO";"ZOETIS ARGENTINA S R L";"Propio";
"79143";"FOSFORO 15-30";"LABORATORIOS BURNET S A C I F I Y A";"Propio";
"79239";"Hepatoforte Neargo";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"79284";"DICLORHIDRATO DE PIPERAZINA AVIAR";"LABORATORIOS AVIAR S A";"Propio";
"79285";"OXITETRACICLINA AVIAR";"LABORATORIOS AVIAR S A";"Propio";
"79288";"Desbridan T";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"79362";"ATRISAN";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"79369";"Terramicina LA ";"ZOETIS ARGENTINA S R L";"Propio";
"79405";"VITACE HAMPTON";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"79406";"SULFALKYL";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"79457";"EMULSION E SE";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"79468";"COMPLEJO VITAMINICO A B2 D3 E HIDRODISPERSABLE";"VON FRANKEN S A I C";"Propio";
"79477";"GLICO KAM TOTAL INYECTABLE";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"79478";"Tiamina Hampton";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"79523";"Tyndalac C";"LUMAI S R L";"Propio";
"79533";"NEWCASTLE TIPO B1+ BRON MASS";"ZOETIS ARGENTINA S R L";"Propio";
"79567";"ANAVIMIN COAT";"HOLLIDAY SCOTT S A";"Propio";
"79575";"Geri Can";"LUMAI S R L";"Propio";
"79609";"AE-VAC";"ZOETIS ARGENTINA S R L";"Propio";
"80038";"Tetraelmer Capsulas";"AGREED LABORATORIOS S A";"Propio";
"80077";"SUB-ACETATO DE PLOMO N.F. DE CALASTREME";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"80121";"DERMIL";"AFFORD SA";"Propio";
"80131";"Bacterina Mixta";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"80159";"EMBROCACION INGLESA";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"80168";"Pomada Madurativa";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"80188";"GERMOVITOL E";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"80206";"CALCIFOS LA";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"80233";"CAUSTICO ROJO CALASTREME";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"80257";"FRALIVER";"LABORATORIOS VETERINARIOS NORT SA";"Propio";
"80270";"HEPATOPROTECTOR **";"INDUSTRIAS VETERINARIAS S R L";"Propio";
"80287";"ACEPROMAZINA HAMPTON";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"80302";"STERILON";"PROAGRO SA";"Propio";
"80313";"VIGOREX FUERTE";"LABYES S A";"Propio";
"80332";"Luricide Liquido";"LUMAI S R L";"Propio";
"80370";"Fructosa C";"LABORATORIO CIMOL SOCIEDAD RESPONSABILIDAD LIMITADA";"Propio";
"80446";"OXITON";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"80459";"Hemoproduvet";"LABORATORIO CIMOL SOCIEDAD RESPONSABILIDAD LIMITADA";"Propio";
"80460";"COMPLEJO B CIMOL";"LABORATORIO CIMOL SOCIEDAD RESPONSABILIDAD LIMITADA";"Propio";
"80464";"B 12 50.000 mcg";"LABORATORIO CIMOL SOCIEDAD RESPONSABILIDAD LIMITADA";"Propio";
"80495";"Primevit 15 Jarabe";"RUTA SEIS S.A.";"Propio";
"80519";"TONICO INDUVET PLUS";"INDUSTRIAS VETERINARIAS S R L";"Propio";
"80576";"Pauldex Gotas Oticas";"PROMOPET SRL";"Propio";
"80597";"VITAMINA C CIMOL";"LABORATORIO CIMOL SOCIEDAD RESPONSABILIDAD LIMITADA";"Propio";
"81046";"POMADA CURABICHERA CICATRIZANTE CACIQUE";"ATANOR SOCIEDAD EN COMANDITA POR ACCIONES";"Propio";
"81070";"MD VAC CAF";"ZOETIS ARGENTINA S R L";"Propio";
"81086";"FUNGIVET";"LUMAI S R L";"Propio";
"81152";"Ventipulmin *";"BOEHRINGER INGELHEIM ANIMAL HEALTH ARGENTINA S. A.";"Propio";
"81166";"CHERUBICHA";"INDUSTRIAS VETERINARIAS S R L";"Propio";
"81221";"Amoxicilina Elmer";"AGREED LABORATORIOS S A";"Propio";
"81246";"Acedan";"HOLLIDAY SCOTT S A";"Propio";
"81247";"ACEDAN GOTAS";"HOLLIDAY SCOTT S A";"Propio";
"81310";"PILOCARPINA 2% INYECTABLE";"ALLIGNANI HERMANOS S R L";"Propio";
"81319";"Synpitan";"AGROINSUMOS S. A.";"Propio";
"81332";"Paulhepat";"PROMOPET SRL";"Propio";
"81334";"DERMOZINC";"VON FRANKEN S A I C";"Propio";
"81375";"TUBERCULINA PPD (AN5) ROSENBUSH";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"81391";"A-Z-5";"VON FRANKEN S A I C";"Propio";
"81402";"BACTERINA HEMOGLOBINURIA BACILAR";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"81444";"CATOSAL CON VITAMINA B12";"INNOSUR";"Propio";
"81453";"Suanovil Amplio Espectro";"INTERVET ARGENTINA SA";"Propio";
"81467";"Niketamida Rio de Janeiro";"ALLIGNANI HERMANOS S R L";"Propio";
"81494";"COMBIO B 2000";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"81504";"Alginort Gel";"LABORATORIOS VETERINARIOS NORT SA";"Propio";
"81526";"CORTROVET B1";"AGROINSUMOS S. A.";"Propio";
"81527";"Grupo B Total 5000 John Martin";"JOHN MARTIN SRL";"Propio";
"81536";"Gotas Oticas Cu-Tral-Co";"INDUSTRIAS VETERINARIAS S R L";"Propio";
"81539";"NOVOTIOC INYECTABLE";"JOHN MARTIN SRL";"Propio";
"81552";"T-ABIC H 120";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"81562";"ANTISEPTICO DESINFECTANTE GANAFORT";"LABORATORIO GANAFORT ARGENTINA S.A.";"Propio";
"81563";"DEXAMETASONA GANAFORT INYECTABLE";"LABORATORIO GANAFORT ARGENTINA S.A.";"Propio";
"82009";"IODOHORMONE";"AGROINSUMOS S. A.";"Propio";
"82010";"ELECTROLITOS BIOVET";"BIOVET S.R.L.";"Propio";
"82088";"CALCIO MAGNESIADO 40";"PROAGRO SA";"Propio";
"82107";"NUTREKID VM 10";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"82109";"TRIVALICO ADE 5";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"82117";"Vitamina B12 Nort";"LABORATORIOS VETERINARIOS NORT SA";"Propio";
"82166";"Barro Equino";"LABORATORIO ENRICH";"Propio";
"82170";"SHOKADE";"AGROINSUMOS S. A.";"Propio";
"82186";"12 P 15";"LABORATORIOS VETERINARIOS NORT SA";"Propio";
"82209";"Miotonico Rio de Janeiro";"ALLIGNANI HERMANOS S R L";"Propio";
"82212";"ANTIHISTAMINICO RIO DE JANEIRO";"ALLIGNANI HERMANOS S R L";"Propio";
"82223";"Neosulf";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"82224";"Antitoxico Polivalente";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"82227";"Anti Empaste Tecnofarm";"TECNOFARM S. R. L.";"Extensión";
"82227";"POLIXANE";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"82228";"REVICAL";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"82229";"Vitaminico Rio de Janeiro";"ALLIGNANI HERMANOS S R L";"Propio";
"82230";"IODURO DE SODIO 60% RIO DE JANEIRO";"ALLIGNANI HERMANOS S R L";"Propio";
"82236";"PLEUROVAC CERDOS";"INVESBIO S.A.";"Propio";
"82263";"STRESIN INYECTABLE";"ALLIGNANI HERMANOS S R L";"Propio";
"82301";"DMSO GEL PINCELACIONES";"LABORATORIO ENRICH";"Propio";
"82313";"PROTECH IODOFOSFORADO";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"82344";"AC 10";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"82372";"LAYOCAL PLUS";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"82374";"ANTITOXICO POLIVALENTE RIO DE JANEIRO";"ALLIGNANI HERMANOS S R L";"Propio";
"82400";"CREMA DE ORDEÑE RIO DE JANEIRO";"ALLIGNANI HERMANOS S R L";"Propio";
"82406";"Actinomicol 60";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"82408";"GEL FINAL";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"82428";"LAYOCAL MG 3500";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"82431";"Sulfametazina 30% Retardada";"ALLIGNANI HERMANOS S R L";"Propio";
"82452";"Calcificante Total PG";"BROUWER SA";"Propio";
"82472";"GLUFORAL MF 500";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"82480";"Ascaricida Plus";"INDUSTRIAS VETERINARIAS S R L";"Propio";
"82487";"Dermoxil";"HOLLIDAY SCOTT S A";"Propio";
"82488";"BICHOLUZ RIO DE JANEIRO";"ALLIGNANI HERMANOS S R L";"Propio";
"82498";"Calcimai Glucosado";"LUMAI S R L";"Propio";
"82640";"Anhelmint Equinos";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"82657";"T5 TRIPLE ENTEROTOXEMIA";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"82724";"A-C 21";"LABORATORIO GANAFORT ARGENTINA S.A.";"Propio";
"82768";"INDUBEN INYECTABLE";"INDUSTRIAS VETERINARIAS S R L";"Propio";
"82792";"Fungivet Otidermico";"LUMAI S R L";"Propio";
"82799";"DKL 5 CURABICHERAS LIQUIDO";"VON FRANKEN S A I C";"Propio";
"82831";"ANTITOXICO MULTIVALENTE";"LABORATORIO GANAFORT ARGENTINA S.A.";"Propio";
"82859";"OXIMAX COMPRIMIDOS";"LABORATORIOS KONIG S A";"Propio";
"83007";"IODOFOS";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"83027";"Newtoncal";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"83044";"CONTROL PART";"LABORATORIOS KONIG S A";"Propio";
"83075";"DUVA REHIDRATANTE CON AMINOACIDOS";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"83082";"EQUALAN PASTA";"BOEHRINGER INGELHEIM ANIMAL HEALTH ARGENTINA S. A.";"Propio";
"83112";"CHINFOOD FUERTE";"CHINFIELD SA";"Propio";
"83116";"GASINT";"CHINFIELD SA";"Propio";
"83117";"Suiferro Fuerte";"CHINFIELD SA";"Propio";
"83128";"HEPATO FACTOR A";"CHINFIELD SA";"Propio";
"83135";"PINCELINAS CON DMSO";"CHINFIELD SA";"Propio";
"83137";"BATACAS";"CHINFIELD SA";"Propio";
"83142";"ANTILIS";"CHINFIELD SA";"Propio";
"83144";"COBRE + ZINC CHINFIELD";"CHINFIELD SA";"Propio";
"83147";"MV CHINFIELD";"CHINFIELD SA";"Propio";
"83150";"CAUSTICO ROJO";"CHINFIELD SA";"Propio";
"83161";"COMPLEJO B-C CHINFIELD";"CHINFIELD SA";"Propio";
"83163";"DIURETIC";"CHINFIELD SA";"Propio";
"83164";"CH 77";"CHINFIELD SA";"Propio";
"83167";"FUSTEX";"CHINFIELD SA";"Propio";
"83169";"COBRE PLUS + FOSFORO CHINFIELD";"CHINFIELD SA";"Propio";
"83175";"B12 50000 CHINFIELD";"CHINFIELD SA";"Propio";
"83178";"UTP DINAMOGENO";"CHINFIELD SA";"Propio";
"83184";"CIPROHEPTADINA CHINFIELD";"CHINFIELD SA";"Propio";
"83186";"CORPOTEN INYECTABLE";"CHINFIELD SA";"Propio";
"83191";"ANTIHISTAMINICO CHINFIELD";"CHINFIELD SA";"Propio";
"83193";"Anartritico Chinfield";"CHINFIELD SA";"Propio";
"83195";"DEXAMETASONA COMPUESTA CHINFIELD";"CHINFIELD SA";"Propio";
"83199";"DEXAFORT";"INTERVET ARGENTINA SA";"Propio";
"83227";"GLUCOSA VITAMINADA D";"CHINFIELD SA";"Propio";
"83251";"BIONEUMOGEN";"BIOGENESIS BAGO S.A.";"Propio";
"83273";"OXITETRACICLINA VIT ";"PROAGRO SA";"Propio";
"83283";"TRICORTI-K";"PROAGRO SA";"Propio";
"83284";"OXITETRACICLINA PROAGRO ";"PROAGRO SA";"Propio";
"83311";"P.G. 600";"INTERVET ARGENTINA SA";"Propio";
"83318";"IodoBactericida";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"83341";"ECTHOL 5 ACCION PROLONGADA";"HOLLIDAY SCOTT S A";"Propio";
"83358";"ASCARICIDA KUALCOS GOTAS";"KUALCOS SRL";"Propio";
"83379";"CALCICOMPLEX COMPRIMIDOS PALATABLES";"KUALCOS SRL";"Propio";
"83387";"DEXAMETASONA OVER";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"83393";"Aminosuc";"CHINFIELD SA";"Propio";
"83407";"Workalin";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"83420";"Aminoacidos Vit";"CHINFIELD SA";"Propio";
"83457";"Vitade B12";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"83460";"Kualcovit B Jarabe";"KUALCOS SRL";"Propio";
"83464";"PERFOS SHAMPOO";"KUALCOS SRL";"Propio";
"83476";"Vetanarcol";"LABORATORIOS KONIG S A";"Propio";
"83477";"Kuraderm Plata";"LABORATORIOS KONIG S A";"Propio";
"83479";"Mastilina VS";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"83521";"COMPLEMIN COMPRIMIDOS PALATABLES";"KUALCOS SRL";"Propio";
"83523";"BOLICOL";"CHINFIELD SA";"Propio";
"83572";"Enterosept Jarabe";"KUALCOS SRL";"Propio";
"83721";"Ecthol Accion Prolongada";"HOLLIDAY SCOTT S A";"Propio";
"83730";"Perfos Solucion";"KUALCOS SRL";"Propio";
"83774";"Ectofin";"VON FRANKEN S A I C";"Propio";
"84002";"Irondel Plus Bencidamina";"PROAGRO SA";"Propio";
"84004";"OXITETRACICLINA CAPSULAS DOBLES";"PROAGRO SA";"Propio";
"84007";"V.A. CHICKVAC";"ZOETIS ARGENTINA S R L";"Propio";
"84010";"Gentamicina Lumai";"LUMAI S R L";"Propio";
"84013";"DIPIRONA CHINFIELD";"CHINFIELD SA";"Propio";
"84019";"Fungicida Leydi Polvo Fumigeno";"EZEGAB S R L";"Propio";
"84054";"IODURO DE SODIO GLUCOSADO RIO DE JANEIRO";"ALLIGNANI HERMANOS S R L";"Propio";
"84064";"Fibrohepat 80";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"84065";"Normafove";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"84070";"BTK 35";"LABORATORIOS KONIG S A";"Propio";
"84071";"CYGRO PREMIX";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"84106";"BAGO AD3E";"BIOGENESIS BAGO S.A.";"Propio";
"84118";"CLORHIDRATO DE TIAMINA RIO DE JANEIRO";"ALLIGNANI HERMANOS S R L";"Propio";
"84153";"AURIX THERAPY";"LABORATORIOS KONIG S A";"Propio";
"84191";"Vetarsil";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"84209";"Laryngine";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"84211";"Iodalkyl";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"84260";"TRATAMIENTO PARA EL PIETIN";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"84278";"GLUCONATO DE CALCIO MAGNESIADO";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"84297";"GALGOSANTEL ORAL";"BIOGENESIS BAGO S.A.";"Propio";
"84323";"INDIO CURABICHERAS";"ALLIGNANI HERMANOS S R L";"Propio";
"84324";"CAL FOS D MAGNESIADO";"ALLIGNANI HERMANOS S R L";"Propio";
"84325";"ESTREPTOCILINA 5.000.000 U.I. RIO DE JANEIRO";"ALLIGNANI HERMANOS S R L";"Propio";
"84329";"VAC C/ABORTO INFECCIOSO EQUINO";"CLINICA EQUINA S R L";"Propio";
"84330";"VACUNA CONTRA ADENITIS EQUINA";"CLINICA EQUINA S R L";"Propio";
"84371";"CIPROHEPTADINA KÖNIG";"LABORATORIOS KONIG S A";"Propio";
"84372";"OXI-MAS NO TOS";"LABORATORIOS KONIG S A";"Propio";
"84378";"ADEVIT";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"84393";"Inmuno-Gam";"ATON SRL";"Propio";
"84417";"PIPERAZINA PROAGRO";"PROAGRO SA";"Propio";
"84420";"ATROPINA RIO DE JANEIRO";"ALLIGNANI HERMANOS S R L";"Propio";
"84421";"Antianemico para Terneros";"ALLIGNANI HERMANOS S R L";"Propio";
"84426";"TUBERCULINA PPD BOVINA";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"84428";"Bactemidon Solucion";"BIOGENESIS BAGO S.A.";"Propio";
"84436";"Ancylos Gotas";"LUMAI S R L";"Propio";
"84447";"Polivitagen Max";"CESINI SILVIO GERMAN";"Extensión";
"84447";"Ler Vitacan";"AFFORD SA";"Propio";
"84449";"FG 25";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"84461";"MODIFICADOR PLUS HEMBRA";"LABORATORIOS BURNET S A C I F I Y A";"Propio";
"84466";"BRONCOPUL G ";"VON FRANKEN S A I C";"Propio";
"84467";"Oversole";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"84689";"Glypondin";"LABORATORIOS KONIG S A";"Propio";
"84700";"FOSCADE INDUVET";"INDUSTRIAS VETERINARIAS S R L";"Propio";
"85006";"Solucomplex B";"INDUSTRIAS VETERINARIAS S R L";"Propio";
"85027";"ACAROX CONCENTRADO";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"85029";"COAGULANTE CHINFIELD";"CHINFIELD SA";"Propio";
"85032";"VIVIRAM-V";"HOLLIDAY SCOTT S A";"Propio";
"85051";"PAULVAC ADENITIS EQUINA";"PROMOPET SRL";"Propio";
"85066";"Betametasona";"LUMAI S R L";"Propio";
"85084";"MULTI B FORTE";"LABORATORIO ENRICH";"Propio";
"85097";"Oxi Tri";"PROAGRO SA";"Propio";
"85098";"AGRESIL";"PROMOPET SRL";"Propio";
"85120";"OLIVITASAN";"LABORATORIOS ESPECIALIDADES VETERINARIAS ALE BET S R L";"Propio";
"85121";"Complejo B con Hierro Especial para Cerdos";"LABORATORIOS ESPECIALIDADES VETERINARIAS ALE BET S R L";"Propio";
"85123";"Calcio y Minerales Ale-Bet";"LABORATORIOS ESPECIALIDADES VETERINARIAS ALE BET S R L";"Propio";
"85124";"Complejo B-B12-B15 Ale-Bet";"LABORATORIOS ESPECIALIDADES VETERINARIAS ALE BET S R L";"Propio";
"85125";"COMPLEJO B CON HIERRO ALE-BET";"LABORATORIOS ESPECIALIDADES VETERINARIAS ALE BET S R L";"Propio";
"85126";"Enzaprost-F";"BIOGENESIS BAGO S.A.";"Propio";
"85129";"Diurizon";"MONTKEMT S.A.";"Propio";
"85156";"PLEUROVAC TERNEROS";"PROMOPET SRL";"Propio";
"85168";"TONIQUETAS";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"85184";"Cestodan Inyectable";"LABORATORIOS KONIG S A";"Propio";
"85186";"CESTODAN ORAL";"LABORATORIOS KONIG S A";"Propio";
"85198";"KETAMINA 50 HOLLIDAY";"HOLLIDAY SCOTT S A";"Propio";
"85203";"Paraqueños Sales Rehidratantes";"PROAGRO SA";"Propio";
"85204";"PARAQUEÑOS ANTIINFLAMATORIO PREDNISOLONA";"PROAGRO SA";"Propio";
"85205";"PARAQUEÑOS DIGITÁLICO";"PROAGRO SA";"Propio";
"85206";"Paraqueños Calcificante Integral";"PROAGRO SA";"Propio";
"85209";"BIOENTEROTEC";"BIOGENESIS BAGO S.A.";"Propio";
"85210";"LIMPIAOREJAS";"PROAGRO SA";"Propio";
"85212";"PARAQUEÑOS ANTIPARASITARIO INTERNO ORAL";"PROAGRO SA";"Propio";
"85216";"Dexametasona Delta Tabletas";"INDUSTRIAS VETERINARIAS S R L";"Propio";
"85219";"H 500 PLUS";"LABORATORIOS VETERINARIOS NORT SA";"Propio";
"85229";"Neumo PI3";"BIOGENESIS BAGO S.A.";"Propio";
"85238";"SULFATO DE ATROPINA JOHN MARTIN";"JOHN MARTIN SRL";"Propio";
"85270";"Estrumate";"INTERVET ARGENTINA SA";"Propio";
"85276";"IMIZOL";"INTERVET ARGENTINA SA";"Propio";
"85279";"Tylan 200";"INNOSUR";"Propio";
"85286";"TYLAN 40 PREMEZCLA";"INNOSUR";"Propio";
"85287";"Elancoban 200";"INNOSUR";"Propio";
"85295";"NOBILIS REO INAC ";"INTERVET ARGENTINA SA";"Propio";
"85301";"Avetotal";"BEDSON S. A.";"Propio";
"85312";"HEMODINE GR";"LABORATORIOS KONIG S A";"Propio";
"85329";"TONICO POTENTE SPC";"INDUSTRIAS VETERINARIAS S R L";"Propio";
"85330";"LAPIZ DESCORNADOR RIO DE JANEIRO";"ALLIGNANI HERMANOS S R L";"Propio";
"85332";"CALCIO MAGNESIADO 50 RIO DE JANEIRO";"ALLIGNANI HERMANOS S R L";"Propio";
"85333";"Calcio Rio de Janeiro";"ALLIGNANI HERMANOS S R L";"Propio";
"85344";"POLIMAGNESIO";"LABORATORIO ALQUIMIA S.A.";"Propio";
"85346";"Cafeina Rio de Janeiro al 20%";"ALLIGNANI HERMANOS S R L";"Propio";
"85347";"Calcio Magnesiado Rio de Janeiro";"ALLIGNANI HERMANOS S R L";"Propio";
"85355";"ANALGESICA CUME";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"85369";"JARABE DE CALCIO JOHN MARTIN";"JOHN MARTIN SRL";"Propio";
"85382";"Closgal";"BIOGENESIS BAGO S.A.";"Propio";
"85383";"Cestodan 50";"LABORATORIOS KONIG S A";"Propio";
"85398";"TEA 327 POLVO";"LABORATORIOS KONIG S A";"Propio";
"85399";"TEA 327 AEROSOL";"LABORATORIOS KONIG S A";"Propio";
"85401";"NUTRICAL";"LABORATORIOS KONIG S A";"Propio";
